Date,Open,High,Low,Close
2022-01-09,132000,132500,121500,127000
2022-01-16,126500,130000,123000,128500
2022-01-23,127500,128500,118000,119000
2022-01-30,116500,121500,111000,120500
2022-02-06,124500,127000,124000,124500
2022-02-13,123000,132500,119500,132000
2022-02-20,130000,134000,127000,131500
2022-02-27,129000,130500,122000,123000
2022-03-06,123000,129500,121000,124500
2022-03-13,119000,121500,115500,117000
2022-03-20,115500,125000,112000,124000
2022-03-27,124000,124500,118000,118000
2022-04-03,117500,123000,116000,116000
2022-04-10,115000,118000,110500,112000
2022-04-17,111000,113000,107000,108000
2022-04-24,107000,115000,106500,110500
2022-05-01,109000,112500,107500,112500
2022-05-08,110000,112000,106500,107500
2022-05-15,107000,112500,106500,112500
2022-05-22,113500,115000,110000,112500
2022-05-29,113000,113500,101500,106000
2022-06-05,108000,108500,105500,107000
2022-06-12,105500,107500,102500,103500
2022-06-19,100000,101500,95000,96400
2022-06-26,96700,96800,89700,91600
2022-07-03,92700,96100,87100,87500
2022-07-10,87500,96500,86300,94800
2022-07-17,95000,99000,91700,98700
2022-07-24,101000,104500,98700,100000
2022-07-31,99100,101500,97400,97900
2022-08-07,97200,98700,96100,98500
2022-08-14,97700,97700,91800,93300
2022-08-21,94500,97600,94400,96400
2022-08-28,95200,96800,92100,95100
2022-09-04,92700,95500,91600,91700
2022-09-11,91800,92900,89900,90400
2022-09-18,91700,95200,90000,91200
2022-09-25,90800,91500,83300,83500
2022-10-02,81500,83900,80400,83100
2022-10-09,85200,92000,85200,91200
2022-10-16,89700,96600,88000,95500
2022-10-23,94600,96200,89000,90500
2022-10-30,92200,95500,83000,83400
2022-11-06,84300,85500,81400,84500
2022-11-13,85400,95300,85000,93500
2022-11-20,93900,93900,82000,88400
2022-11-27,87600,87700,84900,85100
2022-12-04,84100,87300,81800,81900
2022-12-11,81900,82300,78200,81500
2022-12-18,80100,82700,77500,78400
2022-12-25,78300,80100,77300,77800
2023-01-01,77700,77700,74700,75000
2023-01-08,75100,83600,73100,83100
2023-01-15,84900,88400,83500,85700
2023-01-22,86000,87800,84000,87600
2023-01-29,92000,92800,90100,91500
2023-02-05,91300,94900,86800,92200
2023-02-12,91400,95000,88800,93500
2023-02-19,92000,94200,89900,92000
2023-02-26,92700,94000,88500,91000
2023-03-05,90100,91000,87200,87300
2023-03-12,87900,90000,83100,83300
2023-03-19,83200,84800,76700,84000
2023-03-26,83800,90700,82900,87300
2023-04-02,87500,90500,84700,88600
2023-04-09,89700,89700,82700,89100
2023-04-16,88700,92500,88200,89300
2023-04-23,89000,89800,86200,89100
2023-04-30,88100,91400,83700,89500
2023-05-07,90900,90900,87500,88700
2023-05-14,89700,90000,85000,87200
2023-05-21,87000,97900,85500,97300
2023-05-28,97700,110500,96300,109200
2023-06-04,113200,113400,106000,110300
2023-06-11,110100,115600,106700,115400
2023-06-18,114400,121100,114000,118900
2023-06-25,118000,118500,112500,113600
2023-07-02,113100,117400,110800,115200
2023-07-09,115300,118900,111200,111800
2023-07-16,111800,120200,109700,118000
2023-07-23,116900,119100,113200,115100
2023-07-30,114100,129000,111300,128000
2023-08-06,128000,128500,117200,120100
2023-08-13,120600,124900,115100,115300
2023-08-20,114600,118700,111800,117200
2023-08-27,117300,123600,114100,116500
2023-09-03,117000,122800,115500,120000
2023-09-10,118300,121000,112800,113700
2023-09-17,113700,124400,112900,122400
2023-09-24,120300,122900,114100,117300
2023-10-01,115900,117700,112300,114700
2023-10-08,113000,122900,113000,120400
2023-10-15,122800,126300,119200,124700
2023-10-22,124700,130800,122400,126200
2023-10-29,126800,129000,117500,119100
2023-11-05,119100,127200,116300,125800
2023-11-12,125800,133500,125800,130500
2023-11-19,133000,134400,129100,129900
2023-11-26,129300,133300,128000,128000
2023-12-03,129200,133900,128400,132600
2023-12-10,133400,134600,124500,127500
2023-12-17,128700,140000,127300,140000
2023-12-24,139000,143700,138100,140600
2023-12-31,142000,142000,139200,141500
