Date,Open,High,Low,Close
2022-01-09,15040,15185,14200,14295
2022-01-16,14485,14485,13880,14125
2022-01-23,14135,14520,13730,13775
2022-01-30,13775,14000,13135,13565
2022-02-06,13735,13740,13150,13410
2022-02-13,13450,13615,12620,12620
2022-02-20,12600,13045,12405,12900
2022-02-27,12600,13280,12500,13235
2022-03-06,13225,13395,12780,12815
2022-03-13,12810,12810,12090,12480
2022-03-20,12520,12780,11745,12540
2022-03-27,12710,12745,12280,12390
2022-04-03,12170,12535,12070,12495
2022-04-10,12495,12495,11915,12035
2022-04-17,12035,12035,11315,11570
2022-04-24,11570,11745,10610,10635
2022-05-01,10610,10765,9900,10765
2022-05-08,10720,10785,10325,10405
2022-05-15,10305,11045,9950,10835
2022-05-22,10965,10990,10550,10980
2022-05-29,11000,11110,10270,10475
2022-06-05,10600,11180,10420,11080
2022-06-12,11100,11600,11100,11540
2022-06-19,11540,12060,11115,12045
2022-06-26,12090,13225,12000,13210
2022-07-03,13270,13330,12800,12980
2022-07-10,12980,13455,12925,13260
2022-07-17,13260,13285,12555,13150
2022-07-24,13175,13190,12500,12680
2022-07-31,12690,12715,12310,12335
2022-08-07,12445,12600,12225,12360
2022-08-14,12360,12690,12240,12580
2022-08-21,12580,13000,12520,12815
2022-08-28,12805,13105,12320,12355
2022-09-04,12355,12380,11845,11980
2022-09-11,11970,12285,11850,12050
2022-09-18,12110,12370,11060,11060
2022-09-25,11380,11505,10815,11025
2022-10-02,10935,11265,10750,11070
2022-10-09,11070,11425,10980,11100
2022-10-16,11200,11650,10440,11650
2022-10-23,11640,11690,11215,11285
2022-10-30,11315,11315,10500,10500
2022-11-06,10500,11390,10405,11350
2022-11-13,11350,11370,10495,10640
2022-11-20,10635,10850,10375,10615
2022-11-27,10595,10840,10180,10230
2022-12-04,10355,10575,10000,10460
2022-12-11,10535,10865,10390,10780
2022-12-18,10780,10780,10295,10525
2022-12-25,10525,10620,9890,9890
2023-01-01,9810,10245,9740,10180
2023-01-08,10285,10620,10145,10585
2023-01-15,10740,10865,10550,10860
2023-01-22,10955,11200,10800,11185
2023-01-29,11200,11440,11155,11430
2023-02-05,11495,11495,11020,11140
2023-02-12,11020,11330,11005,11215
2023-02-19,11375,11430,10840,11010
2023-02-26,11135,11135,10835,10835
2023-03-05,11195,11195,10750,10885
2023-03-12,10885,10995,10575,10735
2023-03-19,10895,10895,10225,10305
2023-03-26,10675,10675,10220,10495
2023-04-02,10600,10790,10040,10690
2023-04-09,10690,11105,10690,11040
2023-04-16,11040,11175,10785,10820
2023-04-23,10850,11045,10690,10690
2023-04-30,10690,10690,10190,10530
2023-05-07,10405,10585,10280,10310
2023-05-14,10310,10310,10035,10255
2023-05-21,10280,10390,10045,10115
2023-05-28,10115,10115,9810,9865
2023-06-04,9850,9850,9495,9735
2023-06-11,9780,9780,9130,9130
2023-06-18,9190,9540,9000,9540
2023-06-25,9640,9660,9225,9240
2023-07-02,9230,9460,9195,9420
2023-07-09,9420,9550,9220,9300
2023-07-16,9305,9385,9175,9300
2023-07-23,9300,9300,8840,9020
2023-07-30,9020,9200,8520,9200
2023-08-06,9275,9800,9170,9740
2023-08-13,9710,9710,9490,9505
2023-08-20,9505,9505,9050,9230
2023-08-27,9005,9165,8520,8705
2023-09-03,8705,9145,8705,8855
2023-09-10,8985,8985,8665,8720
2023-09-17,8780,8880,8530,8590
2023-09-24,8625,8645,8140,8645
2023-10-01,8660,8760,8530,8725
2023-10-08,8780,8780,8550,8620
2023-10-15,8685,8735,7845,8580
2023-10-22,8875,8875,8070,8160
2023-10-29,8160,8280,7890,8245
2023-11-05,8125,8570,8125,8245
2023-11-12,8210,8510,8210,8435
2023-11-19,8510,8510,8100,8100
2023-11-26,8200,8345,8140,8210
2023-12-03,8275,8275,8010,8140
2023-12-10,8140,8150,7845,8020
2023-12-17,8010,8295,7885,7910
2023-12-24,8000,8000,7675,7735
2023-12-31,7785,7900,7585,7900
