Date,Open,High,Low,Close
2022-01-09,5570,5649,5485,5605
2022-01-16,5603,5629,5460,5476
2022-01-23,5494,5494,5184,5220
2022-01-30,5165,5165,4547,4741
2022-02-06,4817,4894,4798,4894
2022-02-13,4891,4957,4773,4805
2022-02-20,4733,4914,4576,4914
2022-02-27,4833,5120,4818,5082
2022-03-06,5155,5455,5150,5408
2022-03-13,5381,5416,5210,5319
2022-03-20,5288,5288,5076,5235
2022-03-27,5257,5455,5219,5422
2022-04-03,5420,5455,5313,5324
2022-04-10,5312,5455,5282,5393
2022-04-17,5352,5633,5273,5620
2022-04-24,5613,5688,5570,5615
2022-05-01,5513,5563,5317,5507
2022-05-08,5451,5550,5431,5492
2022-05-15,5476,5476,5164,5328
2022-05-22,5371,5465,5193,5457
2022-05-29,5480,5495,5357,5462
2022-06-05,5496,5646,5496,5632
2022-06-12,5621,5656,5527,5592
2022-06-19,5491,5501,5168,5323
2022-06-26,5357,5372,5029,5159
2022-07-03,5257,5416,5124,5179
2022-07-10,5188,5188,4863,5049
2022-07-17,5048,5053,4803,4849
2022-07-24,4874,5053,4849,5009
2022-07-31,4994,5317,4994,5318
2022-08-07,5322,5520,5317,5457
2022-08-14,5452,5801,5437,5737
2022-08-21,5781,5781,5657,5672
2022-08-28,5582,5979,5582,5926
2022-09-04,5752,5930,5547,5572
2022-09-11,5547,5646,5451,5482
2022-09-18,5565,5570,5381,5393
2022-09-25,5401,5471,5232,5278
2022-10-02,5193,5198,4708,4774
2022-10-09,4854,5143,4799,5099
2022-10-16,4998,5043,4823,4949
2022-10-23,4849,5078,4849,4919
2022-10-30,4989,5198,4889,5159
2022-11-06,5198,5525,5089,5472
2022-11-13,5490,5751,5431,5747
2022-11-20,5756,5806,5657,5747
2022-11-27,5726,5771,5597,5767
2022-12-04,5756,5786,5582,5587
2022-12-11,5585,5605,5277,5318
2022-12-18,5317,5481,5272,5308
2022-12-25,5282,5331,5124,5129
2023-01-01,5133,5203,5019,5064
2023-01-08,5078,5153,4819,4954
2023-01-15,4984,5336,4974,5318
2023-01-22,5336,5336,5104,5184
2023-01-29,5193,5456,5193,5403
2023-02-05,5366,5576,5301,5562
2023-02-12,5510,5596,5466,5582
2023-02-19,5552,5716,5552,5667
2023-02-26,5656,5771,5557,5717
2023-03-05,5647,5865,5627,5866
2023-03-12,5960,6089,5865,5876
2023-03-19,5846,6019,5722,5832
2023-03-26,5767,6144,5712,6006
2023-04-02,6049,6178,5920,6155
2023-04-09,6220,6354,6150,6290
2023-04-16,6325,6747,6325,6729
2023-04-23,6748,7007,6723,6764
2023-04-30,6762,6877,6495,6670
2023-05-07,6669,6704,6435,6495
2023-05-14,6499,6519,6275,6290
2023-05-21,6295,6409,6235,6390
2023-05-28,6425,6754,6390,6600
2023-06-04,6614,6788,6560,6784
2023-06-11,6819,7173,6819,7169
2023-06-18,7173,7318,7049,7309
2023-06-25,7309,7408,7153,7154
2023-07-02,7153,7223,6909,7149
2023-07-09,7189,7473,7164,7349
2023-07-16,7429,7762,7389,7618
2023-07-23,7567,8107,7503,8073
2023-07-30,8052,9155,7678,8108
2023-08-06,8202,8506,7928,7968
2023-08-13,7967,7967,7663,7773
2023-08-20,7727,7727,7199,7294
2023-08-27,7354,7513,7284,7449
2023-09-03,7533,7742,7394,7404
2023-09-10,7399,7498,7119,7189
2023-09-17,7209,7323,7049,7254
2023-09-24,7204,7308,6904,7044
2023-10-01,6998,7043,6605,6705
2023-10-08,6589,6589,6255,6290
2023-10-15,6274,6619,6140,6425
2023-10-22,6335,6519,5921,5956
2023-10-29,5916,6040,5506,5541
2023-11-05,5491,5715,5252,5696
2023-11-12,5731,6619,5721,5796
2023-11-19,5850,6224,5706,5941
2023-11-26,6005,6269,6000,6145
2023-12-03,6174,6490,6110,6415
2023-12-10,6535,6744,6375,6555
2023-12-17,6569,6754,6415,6695
2023-12-24,6774,6809,6545,6545
2023-12-31,6544,6674,6440,6655
