Date,Open,High,Low,Close
2022-01-09,37159,37252,35275,35911
2022-01-16,35593,36643,34954,36224
2022-01-23,36142,36190,34875,35121
2022-01-30,34806,35097,32104,33302
2022-02-06,33840,34020,33305,33835
2022-02-13,33641,34134,32748,33537
2022-02-20,33188,34032,32510,33566
2022-02-27,32940,33560,32138,32648
2022-03-06,32515,33536,32369,32643
2022-03-13,31845,31916,30885,31294
2022-03-20,31093,32554,30770,32415
2022-03-27,32587,32766,32021,32362
2022-04-03,32251,33114,32042,32552
2022-04-10,32420,32890,31592,32205
2022-04-17,32046,32539,31544,31952
2022-04-24,31670,32613,31670,31898
2022-05-01,31406,31805,30622,31728
2022-05-08,31270,31845,30870,31035
2022-05-15,30855,31018,29725,30691
2022-05-22,30924,31401,30297,31203
2022-05-29,31320,31476,29776,30317
2022-06-05,30768,30868,30259,30504
2022-06-12,30354,30354,29307,29417
2022-06-19,28750,28840,27431,27886
2022-06-26,27963,27963,26184,26993
2022-07-03,27395,27697,25713,25847
2022-07-10,25962,27538,25511,26993
2022-07-17,27098,27528,26282,27529
2022-07-24,27699,28440,27408,28039
2022-07-31,27905,28628,27767,28119
2022-08-07,28053,28592,27807,28562
2022-08-14,28386,28687,27748,28670
2022-08-21,28913,29167,28501,28752
2022-08-28,28332,28332,27535,28030
2022-09-04,27173,28085,27103,27189
2022-09-11,27157,27250,26390,26746
2022-09-18,27304,28106,26875,27038
2022-09-25,27084,27266,25878,25993
2022-10-02,25558,25750,24010,24376
2022-10-09,24761,26063,24761,25900
2022-10-16,25343,26292,25146,26201
2022-10-23,25928,26727,25373,26166
2022-10-30,26566,27771,26449,26948
2022-11-06,27291,27848,26919,27667
2022-11-13,27916,29762,27852,29721
2022-11-20,29763,29921,28612,28627
2022-11-27,28690,28690,27772,28450
2022-12-04,28349,29250,27946,28169
2022-12-11,28216,28295,27212,27459
2022-12-18,27192,27781,26721,27032
2022-12-25,26985,27172,26247,26347
2023-01-01,26520,26536,25459,25460
2023-01-08,25586,26974,25072,26800
2023-01-15,27112,28276,27112,27987
2023-01-22,27985,28191,27577,28130
2023-01-29,28646,29707,28646,29523
2023-02-05,29525,29832,28617,29618
2023-02-12,29562,30171,28917,30003
2023-02-19,29891,30378,29316,29795
2023-02-26,29661,30059,29178,29647
2023-03-05,29084,29596,29024,29533
2023-03-12,29715,30501,28995,29248
2023-03-19,29173,29677,28570,29504
2023-03-26,29478,29827,28905,29701
2023-04-02,29753,30324,29301,30267
2023-04-09,30434,30593,29700,30420
2023-04-16,30465,31250,30390,31001
2023-04-23,30970,30970,30063,30188
2023-04-30,30187,30187,29122,29782
2023-05-07,29782,29978,29445,29609
2023-05-14,29821,30003,29242,29272
2023-05-21,29272,30998,29043,30966
2023-05-28,31128,31886,30743,31779
2023-06-04,32200,32898,32130,32776
2023-06-11,32788,33420,32378,33420
2023-06-18,33373,33758,33057,33718
2023-06-25,33537,33537,32379,32424
2023-07-02,32235,33012,32190,32637
2023-07-09,32674,33636,31873,31933
2023-07-16,31867,33427,31373,33226
2023-07-23,32988,33443,32066,32345
2023-07-30,32101,32659,31421,32468
2023-08-06,32467,32809,31338,31453
2023-08-13,31452,31902,30867,31061
2023-08-20,31059,31094,29765,30337
2023-08-27,30508,31152,30024,30332
2023-09-03,30366,31203,30326,31076
2023-09-10,31279,31525,30157,30396
2023-09-17,30394,31579,30143,31562
2023-09-24,30885,31322,29608,30016
2023-10-01,30018,30172,29320,29484
2023-10-08,29041,29612,28835,29128
2023-10-15,29355,30677,29355,30401
2023-10-22,30227,31088,29702,29991
2023-10-29,30038,30257,28478,28727
2023-11-05,28627,29956,28271,29833
2023-11-12,30239,31420,29946,30284
2023-11-19,30600,31361,30234,30879
2023-11-26,30760,31563,30760,30811
2023-12-03,30809,31609,30774,31167
2023-12-10,31379,31483,30294,30806
2023-12-17,30804,32058,30794,32040
2023-12-24,32038,32366,31574,32164
2023-12-31,32272,33080,32025,33072
